SPECIES_NO:1	Prot_acc_1	SPECIES_NO:2	Prot_acc_2	D_n	D_s	Z-SCORE	Ka_Ks
Drosophila melanogaster	NP_001097988	Drosophila ananassae	EDV42042	0.157119401769738	2.88997104941478	-3.8688145408681	0.054367119629643
Drosophila melanogaster	NP_001097988	Drosophila erecta	EDV52965	0.0479504777331242	0.200665907312941	-8.1937076043023	0.238956773351364
Drosophila melanogaster	NP_001097988	Drosophila grimshawi	EDV93936	0.392219125325152	2.33344919210726	-5.64302255956523	0.168085564773301
Drosophila melanogaster	NP_001097988	Drosophila mojavensis	EDW13940	0.393504939036243	1.84288269980994	-7.80976470303914	0.213526850665441
Drosophila melanogaster	NP_001097988	Drosophila persimilis	EDW38798	0.300281032587246	1.47532533262912	-9.95602034474787	0.20353546837844
Drosophila melanogaster	NP_001097988	Drosophila sechellia	EDW53621	0.01997557256945	0.194105738514483	-10.1062319842285	0.102910778024008
Drosophila melanogaster	NP_001097988	Drosophila yakuba	XP_002099494	0.0307869310687455	0.421285818444257	-13.6848053119023	0.0730784890467873
Drosophila melanogaster	NP_001097988	Drosophila pseudoobscura	XP_002137073	0.269925210197685	2.1792644946519	-6.76555869684123	0.123860692843895
Drosophila ananassae	EDV42042	Drosophila erecta	EDV52965	0.209478114437522	0.782159543864539	-11.4356066582544	0.267820185895222
Drosophila ananassae	EDV42042	Drosophila grimshawi	EDV93936	0.41503892863859	1.64901412348192	-8.34251907717142	0.251689129115662
Drosophila ananassae	EDV42042	Drosophila mojavensis	EDW13940	0.416349877880186	1.51761820266737	-8.98235100663885	0.274344283132878
Drosophila ananassae	EDV42042	Drosophila persimilis	EDW38798	0.31094476795411	1.3928848838268	-10.3319331269231	0.223237951365962
Drosophila ananassae	EDV42042	Drosophila sechellia	EDW53621	0.155139113303299	2.74078518775449	-4.53814765200154	0.0566038936566218
Drosophila ananassae	EDV42042	Drosophila willistoni	EDW81707	0.196431638696713	6.73257571887376	-0.0574761189104918	0.0291762984775717
Drosophila ananassae	EDV42042	Drosophila yakuba	XP_002099494	0.157904642265842	2.40091566722209	-6.11354839144675	0.0657685084160166
Drosophila ananassae	EDV42042	Drosophila pseudoobscura	XP_002137073	0.279447457630503	1.61433881741607	-9.78188070805885	0.173103350186294
Drosophila erecta	EDV52965	Drosophila grimshawi	EDV93936	0.524742098494516	1.0035002638207	-7.01385723499798	0.52291176934685
Drosophila erecta	EDV52965	Drosophila mojavensis	EDW13940	0.536893365200699	0.724168501488142	-3.41020660293926	0.74139287209731
Drosophila erecta	EDV52965	Drosophila persimilis	EDW38798	0.424053146470591	0.640533769766906	-4.60174212601787	0.662030897488678
Drosophila erecta	EDV52965	Drosophila sechellia	EDW53621	0.0680379291903421	0.178910307408592	-6.16077959673531	0.380290717599396
Drosophila erecta	EDV52965	Drosophila virilis	EDW66500	0.341776950107392	0.883991247256237	-9.16046310172699	0.386629337301937
Drosophila erecta	EDV52965	Drosophila willistoni	EDW81707	0.251282203284903	0.846445656898169	-10.8326471927964	0.29686749673421
Drosophila erecta	EDV52965	Drosophila yakuba	XP_002099494	0.0458009868732042	0.200656473676997	-8.37096347722964	0.228255715023336
Drosophila erecta	EDV52965	Drosophila pseudoobscura	XP_002137073	0.36802472694281	0.695382404639556	-6.79081358085736	0.529240781025472
Drosophila grimshawi	EDV93936	Drosophila mojavensis	EDW13940	0.350742266496318	0.743145823951637	-7.51695510018026	0.471969639324978
Drosophila grimshawi	EDV93936	Drosophila persimilis	EDW38798	0.509034638581496	1.35799006394101	-8.0903701216989	0.374844155416153
Drosophila grimshawi	EDV93936	Drosophila sechellia	EDW53621	0.379576945897014	2.45767474873842	-5.16957451525515	0.154445557164088
Drosophila grimshawi	EDV93936	Drosophila virilis	EDW66500	0.300532215529888	0.965913745323401	-10.2537177110541	0.311137735625934
Drosophila grimshawi	EDV93936	Drosophila willistoni	EDW81707	0.379063087656248	2.10592845295528	-6.7492050979422	0.179998084514364
Drosophila grimshawi	EDV93936	Drosophila yakuba	XP_002099494	0.38380729126725	1.6838265621509	-8.33749593770519	0.227937544100135
Drosophila grimshawi	EDV93936	Drosophila pseudoobscura	XP_002137073	0.461015265839113	1.62595033531136	-8.16990105896759	0.283535884108558
Drosophila mojavensis	EDW13940	Drosophila persimilis	EDW38798	0.506285729505797	2.06444768961356	-6.8990787980809	0.245240280028876
Drosophila mojavensis	EDW13940	Drosophila sechellia	EDW53621	0.405585567420869	1.95555759783232	-7.34711211486427	0.207401494014008
Drosophila mojavensis	EDW13940	Drosophila virilis	EDW66500	0.242589347698328	0.870786503351745	-11.1610387139204	0.278586481031317
Drosophila mojavensis	EDW13940	Drosophila willistoni	EDW81707	0.389792606774882	1.19340411023058	-9.48445276897279	0.326622477192215
Drosophila mojavensis	EDW13940	Drosophila yakuba	XP_002099494	0.403922984130958	1.34454646355118	-9.31602027052103	0.300415787093089
Drosophila mojavensis	EDW13940	Drosophila pseudoobscura	XP_002137073	0.46298182812633	1.56675824452199	-8.55660828783873	0.295503042505185
Drosophila persimilis	EDW38798	Drosophila sechellia	EDW53621	0.308131855243179	1.41027358265138	-10.2947624361374	0.2184908368374
Drosophila persimilis	EDW38798	Drosophila virilis	EDW66500	0.384672013410224	1.63953845755357	-8.73239010555876	0.234622135051478
Drosophila persimilis	EDW38798	Drosophila willistoni	EDW81707	0.330616377492087	1.42281116412896	-9.98000929991671	0.232368416714307
Drosophila persimilis	EDW38798	Drosophila yakuba	XP_002099494	0.321358411812928	1.2759541843853	-10.4361752350469	0.251857328221972
Drosophila persimilis	EDW38798	Drosophila pseudoobscura	XP_002137073	0.0449443206983906	0.102662405272352	-4.41371733531166	0.437787528737109
Drosophila sechellia	EDW53621	Drosophila yakuba	XP_002099494	0.0336246157789551	0.370407049089163	-13.1945428706583	0.0907774726794174
Drosophila sechellia	EDW53621	Drosophila pseudoobscura	XP_002137073	0.285990756884103	1.80364795658584	-8.79366418041082	0.158562404509059
Drosophila virilis	EDW66500	Drosophila pseudoobscura	XP_002137073	0.335597742861095	2.13014824335422	-6.80762411661693	0.157546660852416
Drosophila willistoni	EDW81707	Drosophila pseudoobscura	XP_002137073	0.292733262054905	1.97026498376951	-7.92135509239125	0.148575579663832
Drosophila yakuba	XP_002099494	Drosophila pseudoobscura	XP_002137073	0.300891152213456	1.64791843300216	-9.4480947237078	0.18258861979309
