SPECIES_NO:1	Prot_acc_1	SPECIES_NO:2	Prot_acc_2	D_n	D_s	Z-SCORE	Ka_Ks
Drosophila melanogaster	NP_572497	Drosophila ananassae	EDV33736	0.0200743818534562	0.665758885519856	-14.5561479294788	0.0301526307647868
Drosophila melanogaster	NP_572497	Drosophila erecta	EDV46339	0.00344729133202511	0.276783357589996	-12.2145379641539	0.0124548360206384
Drosophila melanogaster	NP_572497	Drosophila grimshawi	EDV91697	0.0262188073088863	1.21606955099555	-13.1255396812631	0.0215602859946801
Drosophila melanogaster	NP_572497	Drosophila mojavensis	EDW07037	0.0257047014987312	1.51579835211473	-11.3305407496487	0.0169578634670435
Drosophila melanogaster	NP_572497	Drosophila persimilis	EDW26492	0.0230048123128843	0.887268386729794	-14.4500033538926	0.0259276816991905
Drosophila melanogaster	NP_572497	Drosophila virilis	EDW65460	0.0220924799865062	1.46890747184482	-11.663285942511	0.0150400759816137
Drosophila melanogaster	NP_572497	Drosophila willistoni	EDW72136	0.0337762634517671	3.37338522087178	-2.32609609678756	0.010012572309497
Drosophila melanogaster	NP_572497	Drosophila yakuba	XP_002101116	0.00172265364278188	0.234503159214447	-11.5947924063369	0.00734597200546265
Drosophila melanogaster	NP_572497	Drosophila pseudoobscura	EAL32032	0.02508131655878	0.864242454263664	-14.450641008028	0.0290211577029612
Drosophila ananassae	EDV33736	Drosophila erecta	EDV46339	0.0242032526916969	0.654119476839398	-14.414891716811	0.0370012720132463
Drosophila ananassae	EDV33736	Drosophila grimshawi	EDV91697	0.0216248135937776	1.31413004440049	-12.626820941792	0.0164556115933282
Drosophila ananassae	EDV33736	Drosophila mojavensis	EDW07037	0.0150263282550891	1.1536670044181	-13.5911280468219	0.0130248400947102
Drosophila ananassae	EDV33736	Drosophila persimilis	EDW26492	0.00934300465969107	0.856573050455884	-14.7849738759548	0.0109074230793492
Drosophila ananassae	EDV33736	Drosophila virilis	EDW65460	0.00745579299438209	1.3796418698269	-12.3681017675565	0.00540415100283781
Drosophila ananassae	EDV33736	Drosophila willistoni	EDW72136	0.021699626826891	2.09490600708187	-7.61402412182365	0.0103582818291298
Drosophila ananassae	EDV33736	Drosophila yakuba	XP_002101116	0.0219841972090408	0.632066383228999	-14.4192935130356	0.0347814688335922
Drosophila ananassae	EDV33736	Drosophila pseudoobscura	EAL32032	0.0112274044249939	0.841290665010738	-14.77403099651	0.0133454522817635
Drosophila erecta	EDV46339	Drosophila grimshawi	EDV91697	0.0262035385209603	1.66604620369802	-10.3405253815282	0.0157279782894364
Drosophila erecta	EDV46339	Drosophila mojavensis	EDW07037	0.0274737259165217	1.93612335543888	-8.57286776871895	0.0141900699866791
Drosophila erecta	EDV46339	Drosophila persimilis	EDW26492	0.0229914210528395	1.01754926838667	-14.0743612110513	0.0225948971387818
Drosophila erecta	EDV46339	Drosophila virilis	EDW65460	0.0220796423731095	2.49149647436814	-5.45168342632375	0.00886200024774629
Drosophila erecta	EDV46339	Drosophila yakuba	XP_002101116	0.00172166503150143	0.136296195763962	-9.25316962221919	0.0126317907983508
Drosophila erecta	EDV46339	Drosophila pseudoobscura	EAL32032	0.0212233745635826	0.993823535782984	-14.1877540968318	0.0213552746533234
Drosophila grimshawi	EDV91697	Drosophila mojavensis	EDW07037	0.0209285487527003	0.767557769725669	-14.6267390705316	0.027266415087141
Drosophila grimshawi	EDV91697	Drosophila persimilis	EDW26492	0.0235552945953425	0.816548089003583	-14.5426650211348	0.0288474064327142
Drosophila grimshawi	EDV91697	Drosophila virilis	EDW65460	0.0164794140643284	0.63348202339364	-14.5842126081352	0.0260140200601844
Drosophila grimshawi	EDV91697	Drosophila yakuba	XP_002101116	0.0244420815742095	1.46391469684399	-11.6750222049153	0.0166963837625945
Drosophila grimshawi	EDV91697	Drosophila pseudoobscura	EAL32032	0.0253336065871652	0.815815010116565	-14.5045842519089	0.0310531263497414
Drosophila mojavensis	EDW07037	Drosophila persimilis	EDW26492	0.0227389519962986	1.21448590194751	-13.1763045135753	0.0187231090618963
Drosophila mojavensis	EDW07037	Drosophila virilis	EDW65460	0.0156504736949411	0.851851878182572	-14.6639491642344	0.0183722946392176
Drosophila mojavensis	EDW07037	Drosophila yakuba	XP_002101116	0.0257047014987312	1.66280725941671	-10.3652360099463	0.0154586175596491
Drosophila mojavensis	EDW07037	Drosophila pseudoobscura	EAL32032	0.0248173673582926	1.17911889850601	-13.3345949297268	0.0210473832534931
Drosophila persimilis	EDW26492	Drosophila virilis	EDW65460	0.0103837828248842	1.15261325010986	-13.6581432463715	0.00900890461210167
Drosophila persimilis	EDW26492	Drosophila willistoni	EDW72136	0.0263031047696801	2.75062399431672	-4.29616589944426	0.00956259555069212
Drosophila persimilis	EDW26492	Drosophila yakuba	XP_002101116	0.0212326346644676	1.08525093766709	-13.8283778139014	0.0195647236298273
Drosophila persimilis	EDW26492	Drosophila pseudoobscura	EAL32032	0.001722900973027	0.0240622141316542	-3.76689258451392	0.071601930046849
Drosophila virilis	EDW65460	Drosophila willistoni	EDW72136	0.0262723884969112	2.09589284932952	-7.59098615056238	0.0125351773137237
Drosophila virilis	EDW65460	Drosophila yakuba	XP_002101116	0.0203244799535497	2.08816401912534	-7.65985630583191	0.00973318176512919
Drosophila virilis	EDW65460	Drosophila pseudoobscura	EAL32032	0.0121302283173899	1.12416770910762	-13.7772579934793	0.0107904080673328
Drosophila willistoni	EDW72136	Drosophila pseudoobscura	EAL32032	0.0280939941321071	2.53884518372215	-5.21341996013021	0.0110656586357578
Drosophila yakuba	XP_002101116	Drosophila pseudoobscura	EAL32032	0.0230081625658432	1.05933871563923	-13.9117572113062	0.0217193634351025
