[1] "CAH1 CAH2 -0.330910668436602 -0.594783892274043 -0.00266461691369401 0.0486864653125882 0.718663993833418 0.510710474592861 0.847175767567288 7.95948011944603e-07 0.806540322628713 0.650326306563788 0.897309416195383 2.87449264391171e-09 0.187260807282186 -0.150536198757292 0.48590289190631 0.274120793529314"
[1] "CAH1 CAH3 0.184867832275778 -0.236138958059165 0.547439220924691 0.387145590133462 0.357591395399079 -0.0535265885877192 0.665053364377058 0.0862411288368952 0.64880905971655 0.332414291464217 0.83394062470173 0.00060434442830859 0.262927451114589 -0.157135711549067 0.602428177300324 0.214496466238917"
[1] "CAH1 CAH4 -0.210275887377628 -0.666495742435147 0.36052690856851 0.470567896814731 0.751122497010313 0.366673430297957 0.916463583553233 0.00195795466844295 0.820265088344717 0.512913795449033 0.94121354492732 0.000326487101842687 -0.340173728243997 -0.73762066203186 0.23234077697579 0.234026169387942"
[1] "CAH1 CAH5 -0.298478310243474 -0.639598994839015 0.140855534702418 0.177252278484579 0.488360062740668 0.084059111941021 0.754599037222722 0.021108830049126 0.479798067353903 0.0729455512209952 0.749743260728808 0.0238383535268796 0.0286979665429353 -0.397722647991666 0.444923152444713 0.899119428491666"
[1] "CAH1 CAH6 -0.565664067034363 -0.792970848619013 -0.200124515726875 0.00490570477191661 0.674909341092419 0.363960705115824 0.85050249062258 0.000411156328530726 0.57124670897608 0.208028923770526 0.79601250739192 0.00441075211987862 0.0502769105539055 -0.369584630729559 0.453089153071698 0.819788619363809"
[1] "CAH1 CAH7 0.0550236079663189 -0.347666082553419 0.44057571757855 0.793914599844555 0.775567822900784 0.548536326078758 0.896090929627392 5.25670391460231e-06 0.874696884225401 0.73285524310006 0.943675037380742 1.08287052658085e-08 0.723518539493081 0.45985229963902 0.869945482256761 4.36698454404638e-05"
[1] "CAH1 CAH8 -0.0431158594485887 -0.37103134725806 0.294360113382731 0.805738431831945 0.634459368297999 0.38197415004733 0.798811983187431 4.25831593091619e-05 0.394808178742563 0.0708882985487748 0.643403159581668 0.0189181434807302 0.117955765515419 -0.224099771585514 0.434137096584157 0.499768443309629"
[1] "CAH1 CAH9 0.247823488646262 -0.138013814383268 0.568352153736578 0.203544809999242 0.628952533104752 0.334323941504878 0.811591418765394 0.000337130715864609 0.865478312835145 0.72721031662015 0.936249612682946 2.77035105966661e-09 0.74598678534308 0.516717834158505 0.875424046146659 5.19487837480348e-06"
[1] "CAH1 CAH11 -0.38389668272001 -0.69963737218943 0.057283256993533 0.0857859688658978 0.323008963563788 -0.126287128911503 0.662339925409026 0.153236120807204 0.418532128414051 -0.0160554696254438 0.720112699562804 0.0589914659617681 -0.0767201459441054 -0.492108740277121 0.367125489326682 0.740995455857257"
[1] "CAH1 CAH12 0.172060218475668 -0.230665052368935 0.524458144772283 0.400636783404034 0.477689191373996 0.110847856378863 0.729971672634335 0.0135874458772358 0.696550494261365 0.423449558994849 0.853594061851827 7.72494761105413e-05 0.522863124907313 0.169926810463225 0.756915433092765 0.00613271006573957"
[1] "CAH1 CAH13 -0.181249422788341 -0.560060151989718 0.260246062013499 0.419534004115569 0.641853287613816 0.301957899833274 0.836968929833063 0.00128125891009634 0.506801351253667 0.108342670225333 0.764959564218454 0.0160789671920591 0.063094810451478 -0.368311194863107 0.472143620841153 0.78028781031268"
[1] "CAH1 CAH14 -0.365923341653976 -0.809130136699181 0.342647130632822 0.298387435333644 0.716523064237412 0.15832278442514 0.927648418709165 0.0197306251542861 0.513994258878569 -0.170958303398247 0.864006921090193 0.128558921441411 -0.462057717391449 -0.845661153520892 0.236319534173519 0.178803895519458"
[1] "CAH1 CAH15 -0.0895466301788201 -0.447667965106963 0.293329796240637 0.650444158424659 0.652064760860673 0.368675682979183 0.824552532487178 0.000170138191531555 0.610077372961923 0.306838712746417 0.800871344498745 0.000566742306907342 0.313028646728601 -0.0679881999111889 0.614358478488109 0.104817623585717"
[1] "CAH2 CAH3 0.348014094948605 -0.00077377280094797 0.621311638936464 0.0509569848729876 0.600706320529872 0.318786148904184 0.784976926356556 0.000277746379931054 0.654142143612817 0.395707166209836 0.816578334638952 4.89220875274921e-05 0.452565071381967 0.123334040651233 0.692049055808371 0.0093015780280199"
[1] "CAH2 CAH4 0.0251917528667199 -0.422033809089203 0.462556018719249 0.916040216089196 0.900882897643876 0.7622337805173 0.960493795330422 6.0901202525443e-08 0.709433515421753 0.389051064133058 0.876718198168315 0.00046003964015906 0.535379326562962 0.121688572450448 0.790595101480195 0.0149879516553904"
[1] "CAH2 CAH5 0.213577138230552 -0.118653003739828 0.502800783257782 0.204350280258579 0.83900681476357 0.707259153172093 0.914433320666682 8.86273276989868e-11 0.472412012622191 0.17521294752463 0.69070454027826 0.00315408487954416 0.0946647751850544 -0.236611856399819 0.406223595973486 0.577313103680059"
[1] "CAH2 CAH6 0.158927645184621 -0.164856008680146 0.4517899676755 0.333858176558675 0.786852253080299 0.626996736383092 0.883121001572168 2.86176238262215e-09 0.790186898578488 0.63231767028975 0.885046437562596 2.20408158391194e-09 0.706324097668524 0.502876813620543 0.835617656943275 5.05858350319244e-07"
[1] "CAH2 CAH7 0.45183874189599 0.167467714804116 0.666798588300224 0.00302127474170044 0.713331088885508 0.519741321517119 0.837243007356679 1.65749206804122e-07 0.8596147637002 0.750421415137158 0.923132728964832 6.19726492345762e-13 0.5034175945755 0.231643285386625 0.702298415456273 0.000793360399212961"
[1] "CAH2 CAH8 0.0292792667839854 -0.24036571394686 0.294729192972667 0.833536284766182 0.549429016883694 0.330253904238397 0.712386528807804 1.68755417297994e-05 0.672226078088844 0.493248008930745 0.796601792751394 2.60412298391799e-08 -0.0184123985753946 -0.284769008637904 0.250583560704729 0.894867111849354"
[1] "CAH2 CAH9 0.378820198241679 0.0959562980453557 0.605072158625834 0.010284272365469 0.891099840491094 0.809236255288137 0.939016946892669 2.22044604925031e-16 0.777998232853209 0.627844443850601 0.87232115327664 3.20478532600532e-10 0.450781574685869 0.181227646892621 0.657336881395496 0.00188634239553531"
[1] "CAH2 CAH11 -0.381936111207193 -0.66084781017226 -0.0103313064913185 0.0448945943461185 0.159331038379507 -0.227254520324888 0.502535861242788 0.418023597554031 0.437176106642057 0.0765912325003737 0.696632114980456 0.0200025316312735 -0.299450553826226 -0.604944263057153 0.082886270888995 0.121605339862588"
[1] "CAH2 CAH12 -0.188966274412261 -0.495470462192537 0.1593843905553 0.284475697086292 0.527418825905308 0.230334411974921 0.734570275054016 0.00134943160108092 0.743802812530047 0.541954058969545 0.864517608920303 4.63305463771491e-07 0.426983208291401 0.103806199283416 0.668607893743856 0.0117863243044929"
[1] "CAH2 CAH13 0.137611107819401 -0.185980986932491 0.434272627389877 0.403489279216194 0.834732691325552 0.704854988095639 0.910459770196327 3.99198452072369e-11 0.622960847807249 0.382656819681401 0.784316708904619 2.28119781675584e-05 0.397458915780581 0.0936912178564659 0.633528308251662 0.0122261736170173"
[1] "CAH2 CAH14 -0.183033844827123 -0.569706257966223 0.26998536703813 0.427108418428717 0.913838661797814 0.796276741445376 0.964885689427974 7.17050796517071e-09 0.69030650234743 0.368402164617173 0.864404140581391 0.000533132026079075 0.239905181587412 -0.213937833250156 0.608566449106821 0.294887146512941"
[1] "CAH2 CAH15 0.349359358111302 0.0622044378982198 0.583097327639929 0.0186587073744244 0.916158387470031 0.851654406557818 0.95332165142843 0 0.750932327868572 0.586727242600581 0.855822362509793 2.82497203407672e-09 0.296559092457203 0.00331363283631819 0.542838804668324 0.0479120733385561"
[1] "CAH3 CAH4 -0.174354911926132 -0.751462599788056 0.553905059088029 0.653682556643676 0.783383379149587 0.248597460036073 0.952141916944488 0.0125104139309504 0.789508713971223 0.263600759430207 0.953619321656128 0.0113885553539232 0.250862776414464 -0.49587308037022 0.784314936989475 0.514994671874197"
[1] "CAH3 CAH5 -0.00295921506487129 -0.382542994847238 0.377479242444265 0.988312268454679 0.68081656225753 0.405787982944165 0.842785285936345 9.29075137361401e-05 0.335982003140377 -0.050476722257015 0.634929529553441 0.0866355457469148 0.176345333498346 -0.218297557068299 0.521417208421028 0.3789228205509"
[1] "CAH3 CAH6 0.138426372020749 -0.30073339538549 0.529152561195683 0.53898613756034 0.645360280870689 0.307389145460891 0.83875297859881 0.001180894374186 0.608494318637157 0.251375281312943 0.819788915805728 0.00265622394341403 0.47212629177939 0.0630725992130077 0.745367520508667 0.0265172542821652"
[1] "CAH3 CAH7 0.112000743323879 -0.305184421810397 0.493118020287564 0.602337105877198 0.107436920882148 -0.309367691958891 0.489613910456803 0.617297469366985 0.384181320931292 -0.022739499117992 0.681899035932986 0.0638128986524433 0.0973257919622845 -0.318578601780063 0.48180634879499 0.650966030750947"
